ARPT_ID,ATTR(ARPT_NAME),ATTR(CITY),ATTR(STATE),TYPE,Latitud (genererad),Longitud (genererad),MAP_REGION
ADQ,Kodiak (ADQ),Kodiak,ALASKA,EMASMAX,57.74979391645144,-152.49394362826038,Map - Alaska
CDV,Merle K (Mudhole) Smith (CDV),Cordova,ALASKA,EMASMAX,60.49163970893843,-145.4775578274725,Map - Alaska
OME,Nome (OME),Nome,ALASKA,EMASMAX,64.5125549868752,-165.4443939106089,Map - Alaska
LIT,Bill and Hillary Clinton National (LIT),Little Rock,ARKANSAS,EMASMAX,34.72944141063045,-92.22477719824028,Map - Main
ACV,Arcata-Eureka (ACV),Arcata,CALIFORNIA,EMASMAX,40.97782637934827,-124.10846918983296,Map - Main
BUR,Bob Hope (BUR),Burbank,CALIFORNIA,EMASMAX,34.20069446279951,-118.35866672312989,Map - Main
MRY,Monterey (MRY),Monterey,CALIFORNIA,EMASMAX,36.58695224821836,-121.84278307286499,Map - Main
OAK,Oakland International (OAK),Oakland,CALIFORNIA,EMASMAX,37.72126139774442,-122.22115058453748,Map - Main
SAN,San Diego International (SAN),San Diego,CALIFORNIA,EMASMAX,32.7335627924277,-117.18966332426366,Map - Main
SFO,San Francisco International (SFO),San Francisco International Airport,CALIFORNIA,EMASMAX,37.618805586373234,-122.3754166785624,Map - Main
SBP,San Luis Obispo County (SBP),San Luis Obispo,CALIFORNIA,EMASMAX,35.23727252113929,-120.64260278644508,Map - Main
TEX,Telluride Regional (TEX),Telluride,COLORADO,EMASMAX,37.9538055450864,-107.9087500045879,Map - Main
GON,Groton-New London (GON),Groton,CONNECTICUT,EMASMAX,41.33005555517785,-72.045138908623,Map - Main
BDR,Sikorsky (BDR),Bridgeport,CONNECTICUT,EMASMAX,41.16348085739622,-73.12617582902114,Map - Main
OXC,Waterbury-Oxford (OXC),Oxford,CONNECTICUT,EMASMAX,41.47828053149724,-73.13518252876774,Map - Main
ILG,New Castle County (ILG),Wilmington,DELAWARE,EMASMAX,39.67870971562428,-75.60663496992052,Map - Main
BCT,Boca Raton (BCT),Boca Raton,FLORIDA,EMASMAX,26.378485562405864,-80.1076964154514,Map - Main
FLL,Fort Lauderdale / Hollywood International (FLL),Fort Lauderdale,FLORIDA,EMASMAX,26.071666678069956,-80.14969442256572,Map - Main
EYW,Key West International (EYW),Key West,FLORIDA,EMASMAX,24.556119699572502,-81.7599558336941,Map - Main
SUA,Martin CountyWitham Field (SUA),Stuart,FLORIDA,EMASMAX,27.181699147686174,-80.221293333723,Map - Main
DJT,President Donald J. Trump International (DJT),West Palm Beach,FLORIDA,EMASMAX,26.683161689410305,-80.09559193321135,Map - Main
VNC,Venice (VNC),Venice,FLORIDA,EMASMAX,27.07126778824775,-82.44003248843406,Map - Main
VPC,Cartersville (VPC),Cartersville,GEORGIA,EMASMAX,34.12314750448192,-84.84870669885163,Map - Main
PDK,DeKalb/Peachtree (PDK),Atlanta,GEORGIA,EMASMAX,33.876001937258394,-84.3020305845503,Map - Main
PWK,Chicago Executive (PWK),Wheeling,ILLINOIS,EMASMAX,42.11427944425533,-87.90154084067808,Map - Main
MDW,Chicago Midway (MDW),Chicago,ILLINOIS,greenEMAS,41.785972219479376,-87.75241666941744,Map - Main
ORD,Chicago O'Hare International (ORD),Chicago,ILLINOIS,EMASMAX,41.97694025542356,-87.90814970744731,Map - Main
LEX,Blue Grass (LEX),Lexington,KENTUCKY,EMASMAX,38.0367499894162,-84.60863888663053,Map - Main
SDF,Sandiford (SDF),Louisville,KENTUCKY,EMASMAX,38.174084972699674,-85.73649361628792,Map - Main
BTR,Baton Rouge Metropolitan (BTR),Baton Rouge,LOUISIANA,EMASMAX,30.53291669817413,-91.14988891134807,Map - Main
LFT,Lafayette (LFT),Lafayette,LOUISIANA,EMASMAX,30.205027773078623,-91.98774999743581,Map - Main
AUG,Augusta State (AUG),Augusta,MAINE,EMASMAX,44.320686956823586,-69.7973086354622,Map - Main
BOS,Boston Logan International (BOS),Boston,MASSACHUSETTS,EMASMAX,42.362944433412984,-71.006388898222,Map - Main
HYA,Cape Cod Gateway (HYA),Hyannis,MASSACHUSETTS,EMASMAX,41.66933724965548,-70.280359192472,Map - Main
ORH,Worcester Regional (ORH),Worcester,MASSACHUSETTS,EMASMAX,42.267138873846214,-71.8756111236387,Map - Main
MSP,Minneapolis St. Paul International (MSP),Minneapolis,MINNESOTA,EMASMAX,44.88197223181565,-93.22177775552616,Map - Main
STP,St. Paul Downtown (STP),St. Paul,MINNESOTA,EMASMAX,44.93462252707471,-93.06034248160927,Map - Main
MKC,Kansas City Downtown (MKC),Kansas City,MISSOURI,EMASMAX,39.12293553739839,-94.59282306938796,Map - Main
MHT,Manchester Boston Regional (MHT),Manchester,NEW HAMPSHIRE,EMASMAX,42.93280555277896,-71.43575002385991,Map - Main
EWR,Newark Liberty International (EWR),Newark,NEW JERSEY,EMASMAX,40.69247974465893,-74.16868669669664,Map - Main
TEB,Teterboro (TEB),Teterboro,NEW JERSEY,EMASMAX,40.85011113066559,-74.06083333839528,Map - Main
TTN,Trenton-Mercer (TTN),Trenton,NEW JERSEY,EMASMAX,40.27669443354081,-74.81347221865177,Map - Main
ELM,Elmira-Corning (ELM),Elmira,NEW YORK,EMASMAX,42.159854727332124,-76.8917477669392,Map - Main
ROC,Frederick Douglas / Greater Rochester International (ROC),Rochester,NEW YORK,EMASMAX,43.11914358479984,-77.67186886914807,Map - Main
BGM,Greater Binghamton (BGM),Binghamton,NEW YORK,EMASMAX,42.20844441333708,-75.97961109057992,Map - Main
JFK,John F Kennedy International (JFK),New York,NEW YORK,EMASMAX,40.63992806645991,-73.77869224584039,Map - Main
LGA,LaGuardia (LGA),New York,NEW YORK,EMASMAX,40.777250006448675,-73.87261109889401,Map - Main
FRG,Republic (FRG),North Babylon,NEW YORK,EMASMAX,40.7292744523948,-73.41342056775584,Map - Main
CLT,Charlotte Douglas International (CLT),Charlotte,NORTH CAROLINA,EMASMAX,35.21374997527378,-80.94905554252021,Map - Main
EWN,New Bern (EWN),New Bern,NORTH CAROLINA,EMASMAX,35.07285441633352,-77.04301969342865,Map - Main
INT,Smith Reynolds (INT),Winston-Salem,NORTH CAROLINA,EMASMAX,36.13371390868122,-80.22198779774129,Map - Main
BKL,Burke Lakefront (BKL),Cleveland,OHIO,EMASMAX,41.51786107975391,-81.68263890060624,Map - Main
CLE,Cleveland-Hopkins International (CLE),Cleveland,OHIO,EMASMAX,41.40940693751404,-81.85469111166654,Map - Main
CGF,Cuyahoga (CGF),Cleveland,OHIO,EMASMAX,41.5645833194658,-81.48722224792324,Map - Main
ABE,Lehigh Valley (ABE),Allentown,PENNSYLVANIA,EMASMAX,40.6523627756697,-75.44040585854817,Map - Main
PHL,Philadelphia International (PHL),Philadelphia,PENNSYLVANIA,EMASMAX,39.87208387374318,-75.24066303757002,Map - Main
RDG,Reading Regional (RDG),Reading,PENNSYLVANIA,EMASMAX,40.37849862872612,-75.96524719275637,Map - Main
AVP,Wilkes-Barre / Scranton International (AVP),Avoca,PENNSYLVANIA,EMASMAX,41.338472198216294,-75.72338891406153,Map - Main
PVD,Rhode Island T.F. Green International  (PVD),Warwick,RHODE ISLAND,EMASMAX,41.72233331412438,-71.42772224166623,Map - Main
GMU,Greenville Downtown (GMU),Greenville,SOUTH CAROLINA,EMASMAX,34.84794443624716,-82.34999998865402,Map - Main
HXD,Hilton Head (HXD),Hilton Head Island,SOUTH CAROLINA,EMASMAX,32.22449500692012,-80.69740083524913,Map - Main
JWN,John Tune (JWN),Nashville,TENNESSEE,EMASMAX,36.18302195109499,-86.88649525086184,Map - Main
MEM,Memphis (MEM),Memphis,TENNESSEE,EMASMAX,35.042411366473125,-89.97667917183807,Map - Main
ADS,Addison (ADS),Dallas,TEXAS,EMASMAX,32.96855554407717,-96.83644444200603,Map - Main
LRD,Laredo International (LRD),Laredo,TEXAS,EMASMAX,27.544194432604552,-99.46158334291884,Map - Main
MFE,McAllen International (MFE),McAllen,TEXAS,EMASMAX,26.175833355247672,-98.23861111799405,Map - Main
RUT,Rutland (RUT),Rutland,VERMONT,EMASMAX,43.529730289675136,-72.94962611928514,Map - Main
DCA,Reagan National (DCA),Arlington,VIRGINIA,EMASMAX,38.85144027219462,-77.03772137302781,Map - Main
ROA,Roanoke/Blacksburg Regional (ROA),Roanoke,VIRGINIA,EMASMAX,37.325472249771174,-79.97541668410813,Map - Main
CRW,Charleston Yeager (CRW),Charleston,WEST VIRGINIA,EMASMAX,38.376013033201396,-81.59289359710968,Map - Main
