ARPT_ID,ARPT_NAME,CITY,STATE,NUM_INCIDENTS,INCIDENT_DATES,TOTAL_CREW_AND_PASSENGERS_SAVED,LATITUDE,LONGITUDE
BUR,Bob Hope (BUR),Burbank,CALIFORNIA,2,April 2017; December 2018,117,34.20069446279951,-118.35866672312989
TEX,Telluride Regional (TEX),Telluride,COLORADO,1,July 2024,2,37.9538055450864,-107.9087500045879
BCT,Boca Raton (BCT),Boca Raton,FLORIDA,1,September 2025,4,26.378485562405864,-80.1076964154514
FLL,Fort Lauderdale / Hollywood International (FLL),Fort Lauderdale,FLORIDA,1,April 2023,7,26.071666678069956,-80.14969442256572
EYW,Key West International (EYW),Key West,FLORIDA,2,November 2011; March 2021,5,24.556119699572502,-81.7599558336941
SUA,Martin CountyWitham Field (SUA),Stuart,FLORIDA,1,September 2021,2,27.181699147686174,-80.221293333723
DJT,President Donald J. Trump International (DJT),West Palm Beach,FLORIDA,1,October 2013,8,26.683161689410305,-80.09559193321135
PDK,DeKalb/Peachtree (PDK),Atlanta,GEORGIA,1,October 2023,2,33.876001937258394,-84.3020305845503
PWK,Chicago Executive (PWK),Wheeling,ILLINOIS,3,January 2016; February 2021; September 2025,2,42.11427944425533,-87.90154084067808
ORD,Chicago O'Hare International (ORD),Chicago,ILLINOIS,1,July 2008,145,41.97694025542356,-87.90814970744731
MKC,Kansas City Downtown (MKC),Kansas City,MISSOURI,1,February 2019,1,39.12293553739839,-94.59282306938796
TEB,Teterboro (TEB),Teterboro,NEW JERSEY,2,October 2010; April 2026,10,40.85011113066559,-74.06083333839528
JFK,John F Kennedy International (JFK),New York,NEW YORK,3,May 1999; May 2003; January 2005,30,40.63992806645991,-73.77869224584039
LGA,LaGuardia (LGA),New York,NEW YORK,1,October 2016,37,40.777250006448675,-73.87261109889401
BKL,Burke Lakefront (BKL),Cleveland,OHIO,1,February 2018,4,41.51786107975391,-81.68263890060624
RDG,Reading Regional (RDG),Reading,PENNSYLVANIA,1,July 2021,9,40.37849862872612,-75.96524719275637
GMU,Greenville Downtown (GMU),Greenville,SOUTH CAROLINA,1,July 2006,5,34.84794443624716,-82.34999998865402
ROA,Roanoke/Blacksburg Regional (ROA),Roanoke,VIRGINIA,1,September 2025,53,37.325472249771174,-79.97541668410813
CRW,Charleston Yeager (CRW),Charleston,WEST VIRGINIA,1,January 2010,34,38.376013033201396,-81.59289359710968
